Year,Buy_Jubilee_Now,Save_Wait_Traditional
1,45310,156027
2,78101,263286
3,112195,378299
4,147651,486472
5,184534,588174
6,222907,693695
7,262842,805661
8,304412,924470
9,347692,1050542
10,392765,1184329
11,439717,1326309
12,488637,1476988
13,539620,1636910
14,592766,1806648
15,648182,1986816
16,705979,2178065
17,766275,2381089
18,829192,2596626
19,894864,2825462
20,963427,3068434
21,1035028,3326432
22,1109822,3600406
23,1187970,3891366
24,1269646,4200388
25,1355031,4527954
26,1444317,4875091
27,1537708,5241883
28,1635418,5628933
29,1737675,6037347
30,1844719,6468290
