Year,Jubilee_NetWorth,Traditional_NetWorth,Gap,Jubilee_Portfolio,Traditional_Portfolio,Portfolio_Gap,Jubilee_Equity,Traditional_Equity,Equity_Gap,Land_Lease_Monthly
1,451708,493559,41851,406397,38410,-367987,45310,455149,409838,6650
2,513877,603285,89407,435776,70128,-365647,78101,533156,455055,6650
3,579473,718479,139005,467278,104333,-362945,112195,614145,501950,6650
4,648710,839463,190753,501058,141216,-359842,147651,698247,550595,6650
5,721814,966582,244768,537279,180984,-356295,184534,785597,601063,6650
6,799027,1102687,303659,576119,226347,-349772,222907,876340,653432,6849
7,880610,1248424,367814,617767,277799,-339968,262842,970625,707782,7054
8,966838,1404483,437645,662426,335872,-326553,304412,1068611,764199,7266
9,1058005,1571606,513601,710313,401142,-309170,347692,1170464,822771,7484
10,1154427,1750587,596160,761661,474228,-287432,392765,1276359,883593,7709
11,1256439,1942279,685839,816722,555799,-260922,439717,1386479,946762,7940
12,1364400,2147593,783193,875763,646575,-229187,488637,1501018,1012380,8178
13,1478692,2367510,888818,939072,747332,-191739,539620,1620178,1080558,8424
14,1599724,2603080,1003356,1006957,858906,-148050,592766,1744173,1151406,8676
15,1727933,2855429,1127496,1079750,982200,-97550,648182,1873229,1225046,8937
16,1863785,3125765,1261979,1157806,1118183,-39622,705979,2007581,1301601,9205
17,2007779,3415381,1407602,1241503,1267902,26398,766275,2147479,1381204,9481
18,2160445,3725666,1565221,1331252,1432481,101229,829192,2293185,1463992,9765
19,2322353,4058109,1735756,1427488,1613134,185645,894864,2444974,1550110,10058
20,2494109,4414305,1920196,1530682,1811166,280484,963427,2603139,1639711,10360
21,2676364,4795967,2119603,1641335,2027982,386647,1035028,2767985,1732956,10671
22,2869809,5204929,2335120,1759987,2265094,505106,1109822,2939835,1830013,10991
23,3075187,5642153,2566965,1887217,2523123,635906,1187970,3119030,1931059,11321
24,3293290,6109253,2815962,2023644,2803324,779680,1269646,3305928,2036282,11660
25,3524964,6607628,3082663,2169933,3106719,936785,1355031,3500909,2145877,12010
26,3771115,7139291,3368175,2326798,3434920,1108122,1444317,3704370,2260052,12370
27,4032710,7706487,3673776,2495002,3789754,1294751,1537708,3916733,2379025,12742
28,4310785,8311791,4001006,2675366,4173348,1497982,1635418,4138442,2503024,13124
29,4606444,8959547,4353102,2868769,4589581,1720812,1737675,4369966,2632290,13518
30,4920872,9652757,4731885,3076152,5040958,1964805,1844719,4611798,2767079,13923
